"semaine";"annee";"sexe";"classe_age";"nb_patient"
24;2013;2;"26-50";50190
24;2013;2;"51-75";122309
24;2013;2;">75";86515
24;2013;9;">75";126
25;2013;1;"0-11";89
25;2013;1;"12-18";200
25;2013;1;"19-25";1714
25;2013;1;"26-50";36199
25;2013;1;"51-75";71981
25;2013;1;">75";33471
25;2013;2;"0-11";85
25;2013;2;"12-18";296
25;2013;2;"19-25";2326
25;2013;2;"26-50";49645
25;2013;2;"51-75";119994
25;2013;2;">75";85306
25;2013;9;">75";151
26;2013;1;"0-11";102
26;2013;1;"12-18";188
26;2013;1;"19-25";1735
26;2013;1;"26-50";37060
26;2013;1;"51-75";75804
26;2013;1;">75";34735
26;2013;2;"0-11";102
26;2013;2;"12-18";266
26;2013;2;"19-25";2308
26;2013;2;"26-50";51099
26;2013;2;"51-75";125814
26;2013;2;">75";87174
26;2013;9;">75";95
27;2013;1;"0-11";99
27;2013;1;"12-18";210
27;2013;1;"19-25";1699
27;2013;1;"26-50";36343
27;2013;1;"51-75";75419
27;2013;1;">75";35299
27;2013;2;"0-11";96
27;2013;2;"12-18";273
27;2013;2;"19-25";2337
27;2013;2;"26-50";50438
27;2013;2;"51-75";127676
27;2013;2;">75";89095
27;2013;9;">75";149
28;2013;1;"0-11";128
28;2013;1;"12-18";208
28;2013;1;"19-25";1638
28;2013;1;"26-50";34727
28;2013;1;"51-75";71567
28;2013;1;">75";33411
28;2013;2;"0-11";102
28;2013;2;"12-18";256
28;2013;2;"19-25";2138
28;2013;2;"26-50";48068
28;2013;2;"51-75";120053
28;2013;2;">75";86043
28;2013;9;">75";313
29;2013;1;"0-11";90
29;2013;1;"12-18";181
29;2013;1;"19-25";1579
29;2013;1;"26-50";33666
29;2013;1;"51-75";67202
29;2013;1;">75";31714
29;2013;2;"0-11";80
29;2013;2;"12-18";249
29;2013;2;"19-25";2184
29;2013;2;"26-50";45878
29;2013;2;"51-75";112513
29;2013;2;">75";80643
29;2013;9;">75";332
30;2013;1;"0-11";105
30;2013;1;"12-18";179
30;2013;1;"19-25";1609
30;2013;1;"26-50";34081
30;2013;1;"51-75";70148
30;2013;1;">75";33122
30;2013;2;"0-11";99
30;2013;2;"12-18";246
30;2013;2;"19-25";2143
30;2013;2;"26-50";46451
30;2013;2;"51-75";116153
30;2013;2;">75";83114
30;2013;9;">75";280
31;2013;1;"0-11";89
31;2013;1;"12-18";166
31;2013;1;"19-25";1544
31;2013;1;"26-50";33534
31;2013;1;"51-75";68737
31;2013;1;">75";32289
31;2013;2;"0-11";77
31;2013;2;"12-18";243
31;2013;2;"19-25";2236
31;2013;2;"26-50";46381
31;2013;2;"51-75";114488
31;2013;2;">75";81625
31;2013;9;">75";11
32;2013;1;"0-11";68
32;2013;1;"12-18";144
32;2013;1;"19-25";1467
32;2013;1;"26-50";29955
32;2013;1;"51-75";62892
32;2013;1;">75";30846
32;2013;2;"0-11";60
32;2013;2;"12-18";209
32;2013;2;"19-25";1914
32;2013;2;"26-50";41437
32;2013;2;"51-75";107134
32;2013;2;">75";79704
32;2013;9;">75";21
33;2013;1;"0-11";61
33;2013;1;"12-18";125
33;2013;1;"19-25";1171
33;2013;1;"26-50";26013
33;2013;1;"51-75";52989
33;2013;1;">75";26159
33;2013;2;"0-11";55
33;2013;2;"12-18";201
33;2013;2;"19-25";1716
33;2013;2;"26-50";35031
33;2013;2;"51-75";88370
33;2013;2;">75";64917
33;2013;9;">75";14
34;2013;1;"0-11";56
34;2013;1;"12-18";152
34;2013;1;"19-25";1569
34;2013;1;"26-50";32807
34;2013;1;"51-75";67451
34;2013;1;">75";32959
34;2013;2;"0-11";63
34;2013;2;"12-18";248
34;2013;2;"19-25";2207
34;2013;2;"26-50";44342
34;2013;2;"51-75";112442
34;2013;2;">75";82703
34;2013;9;">75";43
35;2013;1;"0-11";116
35;2013;1;"12-18";228
35;2013;1;"19-25";1740
35;2013;1;"26-50";36411
35;2013;1;"51-75";73454
35;2013;1;">75";33642
35;2013;2;"0-11";104
35;2013;2;"12-18";342
35;2013;2;"19-25";2516
35;2013;2;"26-50";51420
35;2013;2;"51-75";121229
35;2013;2;">75";85705
35;2013;9;">75";35
36;2013;1;"0-11";125
36;2013;1;"12-18";224
36;2013;1;"19-25";1756
36;2013;1;"26-50";38298
36;2013;1;"51-75";77123
36;2013;1;">75";35568
36;2013;2;"0-11";136
36;2013;2;"12-18";333
36;2013;2;"19-25";2537
36;2013;2;"26-50";53456
36;2013;2;"51-75";130477
36;2013;2;">75";90231
36;2013;9;">75";18
37;2013;1;"0-11";140
37;2013;1;"12-18";251
37;2013;1;"19-25";1730
37;2013;1;"26-50";37223
37;2013;1;"51-75";72331
37;2013;1;">75";32715
37;2013;2;"0-11";139
37;2013;2;"12-18";347
37;2013;2;"19-25";2547
37;2013;2;"26-50";52503
37;2013;2;"51-75";122965
37;2013;2;">75";83993
37;2013;9;">75";81
38;2013;1;"0-11";164
38;2013;1;"12-18";242
38;2013;1;"19-25";1811
38;2013;1;"26-50";37277
38;2013;1;"51-75";72358
38;2013;1;">75";33317
38;2013;2;"0-11";139
38;2013;2;"12-18";345
38;2013;2;"19-25";2583
38;2013;2;"26-50";52552
38;2013;2;"51-75";122160
38;2013;2;">75";84300
38;2013;9;">75";151
39;2013;1;"0-11";157
39;2013;1;"12-18";274
39;2013;1;"19-25";1817
39;2013;1;"26-50";38560
39;2013;1;"51-75";75844
39;2013;1;">75";34174
39;2013;2;"0-11";126
39;2013;2;"12-18";365
39;2013;2;"19-25";2701
39;2013;2;"26-50";54784
39;2013;2;"51-75";126027
39;2013;2;">75";86923
39;2013;9;">75";98
40;2013;1;"0-11";161
40;2013;1;"12-18";209
40;2013;1;"19-25";1874
40;2013;1;"26-50";39030
40;2013;1;"51-75";78427
40;2013;1;">75";35364
40;2013;2;"0-11";128
40;2013;2;"12-18";398
40;2013;2;"19-25";2662
40;2013;2;"26-50";54354
40;2013;2;"51-75";129722
40;2013;2;">75";88116
40;2013;9;">75";11
41;2013;1;"0-11";154
41;2013;1;"12-18";261
41;2013;1;"19-25";1831
41;2013;1;"26-50";36940
41;2013;1;"51-75";73543
41;2013;1;">75";32942
41;2013;2;"0-11";129
41;2013;2;"12-18";377
41;2013;2;"19-25";2606
41;2013;2;"26-50";52324
41;2013;2;"51-75";124514
41;2013;2;">75";83378
41;2013;9;">75";23
42;2013;1;"0-11";134
42;2013;1;"12-18";237
42;2013;1;"19-25";1818
42;2013;1;"26-50";37487
42;2013;1;"51-75";74228
42;2013;1;">75";33642
42;2013;2;"0-11";114
42;2013;2;"12-18";398
42;2013;2;"19-25";2634
42;2013;2;"26-50";52195
42;2013;2;"51-75";124089
42;2013;2;">75";85257
42;2013;9;">75";24
43;2013;1;"0-11";129
43;2013;1;"12-18";226
43;2013;1;"19-25";1817
43;2013;1;"26-50";37103
43;2013;1;"51-75";72902
43;2013;1;">75";33560
43;2013;2;"0-11";118
43;2013;2;"12-18";361
43;2013;2;"19-25";2587
43;2013;2;"26-50";50797
43;2013;2;"51-75";119830
43;2013;2;">75";84502
43;2013;9;">75";31
44;2013;1;"0-11";81
44;2013;1;"12-18";200
44;2013;1;"19-25";1541
44;2013;1;"26-50";32511
44;2013;1;"51-75";64761
44;2013;1;">75";28799
44;2013;2;"0-11";100
44;2013;2;"12-18";311
44;2013;2;"19-25";2282
44;2013;2;"26-50";44875
44;2013;2;"51-75";104970
44;2013;2;">75";71245
44;2013;9;">75";89
45;2013;1;"0-11";113
45;2013;1;"12-18";258
45;2013;1;"19-25";1616
45;2013;1;"26-50";33662
45;2013;1;"51-75";69591
45;2013;1;">75";32007
45;2013;2;"0-11";83
45;2013;2;"12-18";409
45;2013;2;"19-25";2367
45;2013;2;"26-50";48815
45;2013;2;"51-75";117108
45;2013;2;">75";81775
45;2013;9;">75";238
46;2013;1;"0-11";148
46;2013;1;"12-18";280
46;2013;1;"19-25";2124
46;2013;1;"26-50";41534
46;2013;1;"51-75";81692
46;2013;1;">75";36116
46;2013;2;"0-11";104
46;2013;2;"12-18";465
46;2013;2;"19-25";3073
46;2013;2;"26-50";58388
46;2013;2;"51-75";135065
46;2013;2;">75";91888
46;2013;9;">75";375
47;2013;1;"0-11";129
47;2013;1;"12-18";294
47;2013;1;"19-25";2071
47;2013;1;"26-50";38667
47;2013;1;"51-75";75208
47;2013;1;">75";34160
47;2013;2;"0-11";124
47;2013;2;"12-18";473
47;2013;2;"19-25";3019
47;2013;2;"26-50";54296
47;2013;2;"51-75";126764
47;2013;2;">75";86775
47;2013;9;">75";383
48;2013;1;"0-11";154
48;2013;1;"12-18";287
48;2013;1;"19-25";2135
48;2013;1;"26-50";39076
48;2013;1;"51-75";76752
48;2013;1;">75";33018
48;2013;2;"0-11";121
48;2013;2;"12-18";470
48;2013;2;"19-25";2986
48;2013;2;"26-50";54808
48;2013;2;"51-75";124296
48;2013;2;">75";83468
48;2013;9;">75";67
49;2013;1;"0-11";139
49;2013;1;"12-18";321
49;2013;1;"19-25";2023
49;2013;1;"26-50";38759
49;2013;1;"51-75";76696
49;2013;1;">75";34524
49;2013;2;"0-11";121
49;2013;2;"12-18";486
49;2013;2;"19-25";2955
49;2013;2;"26-50";54270
49;2013;2;"51-75";127958
49;2013;2;">75";86376
49;2013;9;">75";20
50;2013;1;"0-11";123
50;2013;1;"12-18";311
50;2013;1;"19-25";2043
50;2013;1;"26-50";38848
50;2013;1;"51-75";78208
50;2013;1;">75";34616
50;2013;2;"0-11";145
50;2013;2;"12-18";477
50;2013;2;"19-25";2882
50;2013;2;"26-50";54785
50;2013;2;"51-75";131688
50;2013;2;">75";88069
50;2013;9;">75";36
51;2013;1;"0-11";140
51;2013;1;"12-18";335
51;2013;1;"19-25";2276
51;2013;1;"26-50";41568
51;2013;1;"51-75";86766
51;2013;1;">75";39067
51;2013;2;"0-11";130
51;2013;2;"12-18";506
51;2013;2;"19-25";3061
51;2013;2;"26-50";58798
51;2013;2;"51-75";145569
51;2013;2;">75";98412
51;2013;9;">75";75
52;2013;1;"0-11";86
52;2013;1;"12-18";176
52;2013;1;"19-25";1358
52;2013;1;"26-50";26981
52;2013;1;"51-75";52047
52;2013;1;">75";23196
52;2013;2;"0-11";80
52;2013;2;"12-18";300
52;2013;2;"19-25";1833
52;2013;2;"26-50";36424
52;2013;2;"51-75";80619
52;2013;2;">75";55407
52;2013;9;">75";40
53;2013;1;"0-11";18
53;2013;1;"12-18";38
53;2013;1;"19-25";245
53;2013;1;"26-50";5504
53;2013;1;"51-75";10583
53;2013;1;">75";5326
53;2013;2;"0-11";17
53;2013;2;"12-18";43
53;2013;2;"19-25";306
53;2013;2;"26-50";7284
53;2013;2;"51-75";16795
53;2013;2;">75";12715
53;2013;9;">75";2
1;2014;1;"0-11";93
1;2014;1;"12-18";160
1;2014;1;"19-25";1473
1;2014;1;"26-50";32649
1;2014;1;"51-75";65910
1;2014;1;">75";31817
1;2014;2;"0-11";102
1;2014;2;"12-18";230
1;2014;2;"19-25";2194
1;2014;2;"26-50";44193
1;2014;2;"51-75";105326
1;2014;2;">75";75853
1;2014;9;">75";29
2;2014;1;"0-11";137
2;2014;1;"12-18";297
2;2014;1;"19-25";1961
2;2014;1;"26-50";40495
2;2014;1;"51-75";84834
2;2014;1;">75";40485
2;2014;2;"0-11";110
2;2014;2;"12-18";371
2;2014;2;"19-25";2783
2;2014;2;"26-50";57275
2;2014;2;"51-75";142216
2;2014;2;">75";103577
2;2014;9;">75";26
3;2014;1;"0-11";168
3;2014;1;"12-18";281
3;2014;1;"19-25";1862
3;2014;1;"26-50";38952
3;2014;1;"51-75";79267
3;2014;1;">75";37441
3;2014;2;"0-11";112
3;2014;2;"12-18";415
3;2014;2;"19-25";2745
3;2014;2;"26-50";54697
3;2014;2;"51-75";131814
3;2014;2;">75";94076
3;2014;9;">75";50
4;2014;1;"0-11";142
4;2014;1;"12-18";276
4;2014;1;"19-25";1802
4;2014;1;"26-50";36165
4;2014;1;"51-75";71889
4;2014;1;">75";33750
4;2014;2;"0-11";148
4;2014;2;"12-18";365
4;2014;2;"19-25";2591
4;2014;2;"26-50";50919
4;2014;2;"51-75";118473
4;2014;2;">75";82872
4;2014;9;">75";130
5;2014;1;"0-11";147
5;2014;1;"12-18";277
5;2014;1;"19-25";1866
5;2014;1;"26-50";38059
5;2014;1;"51-75";74772
5;2014;1;">75";34485
5;2014;2;"0-11";117
5;2014;2;"12-18";367
5;2014;2;"19-25";2747
5;2014;2;"26-50";53022
5;2014;2;"51-75";122838
5;2014;2;">75";83935
5;2014;9;">75";131
6;2014;1;"0-11";171
6;2014;1;"12-18";246
6;2014;1;"19-25";1845
6;2014;1;"26-50";37935
6;2014;1;"51-75";77731
6;2014;1;">75";36406
6;2014;2;"0-11";142
6;2014;2;"12-18";377
6;2014;2;"19-25";2628
6;2014;2;"26-50";53341
6;2014;2;"51-75";128946
6;2014;2;">75";90596
6;2014;9;">75";286
7;2014;1;"0-11";174
7;2014;1;"12-18";236
7;2014;1;"19-25";1818
7;2014;1;"26-50";37799
7;2014;1;"51-75";75531
7;2014;1;">75";35710
7;2014;2;"0-11";118
7;2014;2;"12-18";370
7;2014;2;"19-25";2569
7;2014;2;"26-50";52886
7;2014;2;"51-75";125938
7;2014;2;">75";90057
7;2014;9;">75";401
8;2014;1;"0-11";154
8;2014;1;"12-18";198
8;2014;1;"19-25";1698
8;2014;1;"26-50";35692
8;2014;1;"51-75";72783
8;2014;1;">75";34010
8;2014;2;"0-11";158
8;2014;2;"12-18";342
8;2014;2;"19-25";2572
8;2014;2;"26-50";49636
8;2014;2;"51-75";118426
8;2014;2;">75";84321
8;2014;9;">75";343
9;2014;1;"0-11";150
9;2014;1;"12-18";203
9;2014;1;"19-25";1777
9;2014;1;"26-50";36389
9;2014;1;"51-75";74566
9;2014;1;">75";34961
9;2014;2;"0-11";126
9;2014;2;"12-18";321
9;2014;2;"19-25";2471
9;2014;2;"26-50";49326
9;2014;2;"51-75";119631
9;2014;2;">75";84271
9;2014;9;">75";40
10;2014;1;"0-11";148
10;2014;1;"12-18";215
10;2014;1;"19-25";1646
10;2014;1;"26-50";35587
10;2014;1;"51-75";75265
10;2014;1;">75";36100
10;2014;2;"0-11";135
10;2014;2;"12-18";306
10;2014;2;"19-25";2317
10;2014;2;"26-50";49156
10;2014;2;"51-75";123903
10;2014;2;">75";90790
10;2014;9;">75";102
11;2014;1;"0-11";147
11;2014;1;"12-18";248
11;2014;1;"19-25";1676
11;2014;1;"26-50";36463
11;2014;1;"51-75";75585
11;2014;1;">75";35463
11;2014;2;"0-11";129
11;2014;2;"12-18";338
11;2014;2;"19-25";2435
